State,County,MCO Name,Service Category,Number of Active Patients,Number of Eligible MCO Patients,Number of Providers,Percent Of Eligible Patients Receiving Services,Number of Services per Active Patient,Number of Active Patients per Provider,Calendar Year,Plan Category
Arizona,Apache,United Healthcare,Behavioral Health,*,*,11,0.104651163,6.888888889,*,2020,Comprehensive MCO
Arizona,Apache,Mercy Care,Behavioral Health,*,*,8,0.305555556,8.590909091,*,2020,Comprehensive MCO
Arizona,Apache,Banner University Family Care,Behavioral Health,*,*,7,0.058823529,1,*,2020,Comprehensive MCO
Arizona,Apache,Ltc Dd Des,Behavioral Health,67,107,17,0.626168224,371.0746269,4:01,2020,Comprehensive MCO
Arizona,Apache,Az Complete Health,Behavioral Health,*,*,10,0.157894737,9.666666667,*,2020,Comprehensive MCO
Arizona,Apache,Care1st,Behavioral Health,87,"1,123",14,0.07747106,24.98850575,7:01,2020,Comprehensive MCO
Arizona,Apache,Dcs/Chp,Behavioral Health,*,*,1,0,,*,2020,Comprehensive MCO
Arizona,Apache,Health Choice Arizona,Behavioral Health,251,"9,144",14,0.027449694,35.56175299,18:01,2020,Comprehensive MCO
Arizona,Apache,Molina,Behavioral Health,*,*,2,0,,*,2020,Comprehensive MCO
Arizona,Apache,Cenpatico,Behavioral Health,*,*,0,0,,*,2021,Comprehensive MCO
Arizona,Apache,Ltc Dd Des,Behavioral Health,124,216,15,0.574074074,343.7177419,9:01,2021,Comprehensive MCO
Arizona,Apache,Health Choice Arizona,Behavioral Health,367,"14,049",15,0.026122856,21.26430518,25:01:00,2021,Comprehensive MCO
Arizona,Apache,Banner University Family Care,Behavioral Health,*,*,11,0.103448276,6.333333333,*,2021,Comprehensive MCO
Arizona,Apache,Az Complete Health,Behavioral Health,*,*,11,0.071428571,16.33333333,*,2021,Comprehensive MCO
Arizona,Apache,United Healthcare,Behavioral Health,*,*,12,0.085470085,14.5,*,2021,Comprehensive MCO
Arizona,Apache,Dcs/Chp,Behavioral Health,*,*,6,0.461538462,94.16666667,*,2021,Comprehensive MCO
Arizona,Apache,Care1st,Behavioral Health,123,"1,586",16,0.077553594,24.48780488,8:01,2021,Comprehensive MCO
Arizona,Apache,Mercy Care,Behavioral Health,*,*,11,0.350364964,7.0625,*,2021,Comprehensive MCO
Arizona,Apache,Phoenix Hp,Behavioral Health,*,*,0,0,,*,2021,Comprehensive MCO
Arizona,Apache,Molina,Behavioral Health,*,*,5,0,,*,2021,Comprehensive MCO
Arizona,Apache,Ltc Dd Des,Behavioral Health,126,224,19,0.5625,331.8492063,7:01,2022,Comprehensive MCO
Arizona,Apache,Molina,Behavioral Health,*,*,5,0,,*,2022,Comprehensive MCO
Arizona,Apache,Care1st,Behavioral Health,253,"16,066",14,0.015747541,21.97628458,19:01,2022,Comprehensive MCO
Arizona,Apache,United Healthcare,Behavioral Health,*,*,15,0.15,19.8,*,2022,Comprehensive MCO
Arizona,Apache,Az Complete Health,Behavioral Health,18,79,15,0.227848101,20.61111111,2:01,2022,Comprehensive MCO
Arizona,Apache,Banner University Family Care,Behavioral Health,*,*,9,0.108108108,2.5,*,2022,Comprehensive MCO
Arizona,Apache,Mercy Care,Behavioral Health,66,238,13,0.277310924,10.34848485,6:01,2022,Comprehensive MCO
Arizona,Apache,Health Choice Arizona,Behavioral Health,392,"17,679",19,0.0221732,18.02806122,21:01,2022,Comprehensive MCO
Arizona,Apache,Dcs/Chp,Behavioral Health,*,*,8,0.45,101.5555556,*,2022,Comprehensive MCO
Arizona,Apache,Dcs/Chp,Behavioral Health,*,*,10,0.818181818,75.11111111,*,2023,Comprehensive MCO
Arizona,Apache,Care1st,Behavioral Health,465,"22,914",20,0.02029327,32.84301075,24:01:00,2023,Comprehensive MCO
Arizona,Apache,United Healthcare,Behavioral Health,*,*,18,0.099099099,6.727272727,*,2023,Comprehensive MCO
Arizona,Apache,Health Choice Arizona,Behavioral Health,379,"4,072",18,0.093074656,31.22163588,22:01,2023,Comprehensive MCO
Arizona,Apache,Mercy Care,Behavioral Health,121,395,14,0.306329114,11.9338843,9:01,2023,Comprehensive MCO
Arizona,Apache,Molina,Behavioral Health,*,*,4,0.090909091,25,*,2023,Comprehensive MCO
Arizona,Apache,Banner University Family Care,Behavioral Health,*,*,13,0.171428571,4.833333333,*,2023,Comprehensive MCO
Arizona,Apache,Az Complete Health,Behavioral Health,29,101,16,0.287128713,26.20689655,2:01,2023,Comprehensive MCO
Arizona,Apache,Ltc Dd Des,Behavioral Health,137,241,16,0.56846473,269.2846715,9:01,2023,Comprehensive MCO
Arizona,Apache,Health Choice Arizona,Behavioral Health,577,"5,039",15,0.114506847,66.62911612,39:01:00,2024,Comprehensive MCO
Arizona,Apache,Az Complete Health,Behavioral Health,331,"32,843",21,0.010078251,15.85800604,16:01,2024,Comprehensive MCO
Arizona,Apache,Ltc Dd Des,Behavioral Health,150,262,14,0.572519084,269.14,11:01,2024,Comprehensive MCO
Arizona,Apache,United Healthcare,Behavioral Health,18,139,16,0.129496403,10.27777778,2:01,2024,Comprehensive MCO
Arizona,Apache,Banner University Family Care,Behavioral Health,*,*,17,0.142857143,44.1,*,2024,Comprehensive MCO
Arizona,Apache,Mercy Care,Behavioral Health,141,913,19,0.154435926,20.92907801,8:01,2024,Comprehensive MCO
Arizona,Apache,Care1st,Behavioral Health,546,"35,867",15,0.015222907,23.62820513,37:01:00,2024,Comprehensive MCO
Arizona,Apache,Molina,Behavioral Health,*,*,5,0,,*,2024,Comprehensive MCO
Arizona,Apache,Dcs/Chp,Behavioral Health,*,*,10,0.6,26.83333333,*,2024,Comprehensive MCO
Arizona,Cochise,Banner University Family Care,Behavioral Health,"1,299","12,462",170,0.10423688,32.81062356,8:01,2020,Comprehensive MCO
Arizona,Cochise,Dcs/Chp,Behavioral Health,*,*,3,0.025316456,1,*,2020,Comprehensive MCO
Arizona,Cochise,Bridgeway Health Solution,Behavioral Health,*,*,0,0,,*,2020,Comprehensive MCO
Arizona,Cochise,Az Complete Health,Behavioral Health,"1,560","10,495",184,0.148642211,36.46923077,9:01,2020,Comprehensive MCO
